seminar_id,title,date,year
05462,Service Oriented Computing (SOC),November 15 – 18,2005
05471,Computational Proteomics,November 20 – 25,2005
05491,Spatial Cognition: Specialization and Integration,December 4 – 9,2005
05501,Automatic Performance Analysis,December 12 – 16,2005
06011,Autonomic Networking,January 3 – 6,2006
06021,Reliable Implementation of Real Number Algorithms: Theory and Practice,January 8 – 13,2006
06031,Organic Computing - Controlled Emergence,January 15 – 20,2006
06051,Kolmogorov Complexity and Applications,January 29 – February 3,2006
06061,Theory of Evolutionary Algorithms,February 5 – 10,2006
06071,Architectures and Algorithms for Petascale Computing,February 12 – 17,2006
06081,Software Verification: Infinite-State Model Checking and Static Program Analysis,February 19 – 24,2006
06091,Data Structures,February 26 – March 3,2006
06101,"Spatial Data: Mining, Processing and Communicating",March 5 – 10,2006
06111,Complexity of Boolean Functions,March 12 – 17,2006
06121,Atomicity: A Unifying Concept in Computer Science,March 19 – 24,2006
06131,Peer-to-Peer-Systems and -Applications,March 26 – 29,2006
06132,Internet Economics,March 28 – 31,2006
06141,Dynamically Reconfigurable Architectures,April 2 – 7,2006
06161,Simulation and Verification of Dynamic Systems,April 17 – 22,2006
06171,Content-Based Retrieval,April 23 – 28,2006
06172,Directed Model Checking,April 26 – 29,2006
06181,Latently-Typed Languages,May 1 – 6,2006
06191,Rigorous Methods for Software Construction and Analysis,May 7 – 12,2006
06201,Combinatorial and Algorithmic Foundations of Pattern and Association Discovery,May 14 – 19,2006
06221,"Computational Aesthetics in Graphics, Visualization and Imaging",May 28 – June 2,2006
06231,Towards Affordance-Based Robot Control,June 5 – 9,2006
06241,"Human Motion - Understanding, Modeling, Capture and Animation. 13th Workshop on Theoretical Foundations of Computer Vision",June 11 – 16,2006
06251,"Multi-Robot Systems: Perception, Behaviors, Learning, and Action",June 19 – 23,2006
06261,Foundations and Practice of Programming Multi-Agent Systems,June 25 – 30,2006
06262,Empirical Software Engineering,June 26 – 30,2006
06271,Challenges in Symbolic Computation Software,July 2 – 7,2006
06281,The Challenge of Software Verification,July 9 – 13,2006
06291,The Role of Business Processes in Service Oriented Architectures,July 16 – 21,2006
06301,"Duplication, Redundancy, and Similarity in Software",July 23 – 26,2006
06302,Aspects For Legacy Applications,July 26 – 29,2006
06311,Sensor Data and Information Fusion in Computer Vision and Medicine,July 30 – August 4,2006
06341,"Computational Structures for Modelling Space, Time and Causality",August 20 – 25,2006
06351,Methods for Modelling Software Systems (MMOSS),August 27 – September 1,2006
06361,Computing Media and Languages for Space-Oriented Computation,September 3 – 8,2006
06371,From Security to Dependability,September 10 – 15,2006
06381,Computer Science in Sport,September 17 – 20,2006
06391,Algorithms and Complexity for Continuous Problems,September 24 – 29,2006
06401,Complexity of Constraints,October 1 – 6,2006
06411,"Specification, Verification and Test of Open Systems",October 8 – 13,2006
06421,Robot Navigation,October 15 – 20,2006
06431,Scalable Data Management in Evolving Networks,October 22 – 27,2006
06441,Naming and Addressing for Next-Generation Internetworks,October 29 – November 1,2006
06451,"Circuits, Logic, and Games",November 8 – 10,2006
06461,Negotiation and Market Engineering,November 12 – 17,2006
06471,Quo vadis Informatik - Innovation dank Informatik,November 19 – 22,2006
06472,XQuery Implementation Paradigms,November 19 – 22,2006
06481,Geometric Networks and Metric Space Embeddings,November 26 – December 1,2006
06491,"Digital Historical Corpora - Architecture, Annotation, and Retrieval",December 3 – 8,2006
06501,Practical Approaches to Multi-Objective Optimization,December 10 – 15,2006
07011,Runtime Verification,January 2 – 6,2007
07021,Symmetric Cryptography,January 7 – 12,2007
07022,Visualization and Processing of Tensor Fields,January 9 – 13,2007
07031,Software Dependability Engineering,January 14 – 19,2007
07041,Power-aware Computing Systems,January 21 – 26,2007
07051,Programming Paradigms for the Web: Web Programming and Web Services,January 28 – February 2,2007
07061,Autonomous and Adaptive Web Services,February 4 – 9,2007
07071,Web Information Retrieval and Linear Algebra Algorithms,February 11 – 16,2007
07081,End-User Software Engineering,February 18 – 23,2007
07091,"Mobility, Ubiquity and Security",February 25 – March 2,2007
07101,Quantitative Aspects of Embedded Systems,March 4 – 9,2007
07111,Computational Geometry,March 11 – 16,2007
07112,"Cutting, Packing, Layout and Space Allocation",March 13 – 16,2007
07121,"Experimental Fluid Mechanics, Computer Vision & Pattern Recognition",March 18 – 23,2007
07122,Normative Multi-agent Systems,March 18 – 23,2007
07131,Similarity-based Clustering and its Application to Medicine and Biology,March 25 – 30,2007
07132,Towards Interoperability of Biomedical Ontologies,March 27 – 30,2007
07151,Geometry in Sensor Networks,April 9 – 13,2007
07161,"Probabilistic, Logical and Relational Learning - A Further Synthesis",April 15 – 20,2007
07171,Visual Computing - Convergence of Computer Graphics and Computer Vision,April 22 – 27,2007
07181,Parallel Universes and Local Patterns,May 1 – 4,2007
07191,Event Processing,May 6 – 11,2007
07211,"Exact, Approximative, Robust and Certifying Algorithms on Particular Graph Classes",May 20 – 25,2007
07212,"Constraint Databases, Geometric Elimination and Geographic Information Systems",May 20 – 25,2007
07221,"Information Visualization - Human-Centered Issues in Visual Representation, Interaction, and Evaluation",May 28 – June 1,2007
07241,"Tools for the Model-based Development of Certifiable, Dependable Systems",June 10 – 15,2007
07261,Fair Division,June 24 – 29,2007
07271,Computational Social Systems and the Internet,July 1 – 6,2007
07281,"Structure Theory and FPT Algorithmics for Graphs, Digraphs and Hypergraphs",July 8 – 13,2007
07291,Scientific Visualization,July 15 – 20,2007
07301,"Resilient and Survivable Networks, Infrastructure and Services",July 22 – 25,2007
07302,Autonomic Management of Networks and Services,July 25 – 28,2007
07311,Frontiers of Electronic Voting,July 29 – August 3,2007
07341,Code Instrumentation and Modeling for Parallel Performance Analysis,August 19 – 24,2007
07351,Formal Models of Belief Change in Rational Agents,August 26 – 30,2007
07361,Programming Models for Ubiquitous Parallelism,September 2 – 7,2007
07371,Mobile Interfaces Meet Cognitive Technologies,September 9 – 14,2007
07381,Cryptography,September 16 – 21,2007
07391,Probabilistic Methods in the Design and Analysis of Algorithms,September 23 – 28,2007
07401,Deduction and Decision Procedures,September 30 – October 5,2007
07411,Algebraic Methods in Computational Complexity,October 7 – 12,2007
07421,Formal Protocol Verification Applied,October 14 – 19,2007
07431,Computational Issues in Social Choice,October 21 – 26,2007
07441,Algorithmic-Logical Theory of Infinite Structures,October 28 – November 2,2007
07451,Model-Based Engineering of Embedded Real-Time Systems,November 4 – 9,2007
07461,Numerical Methods for Structured Markov Chains,November 11 – 14,2007
07462,"Assisted Living Systems \x96 Models, Architectures and Engineering Approaches",November 14 – 17,2007
07471,Equilibrium Computation,November 18 – 23,2007
07491,Mining Programs and Processes,December 2 – 7,2007
08021,Numerical Validation in Current Hardware Architectures,January 6 – 11,2008
08031,Software Engineering for Self-Adaptive Systems,January 13 – 18,2008
08041,"Recurrent Neural Networks - Models, Capacities, and Applications",January 20 – 25,2008
08042,Theory and Practice of Argumentation Systems,January 20 – 23,2008
08043,Telecommunication Economics,January 23 – 26,2008
08051,Theory of Evolutionary Algorithms,January 27 – February 1,2008
08061,"Types, Logics and Semantics for State",February 3 – 8,2008
08071,Scheduling,February 10 – 15,2008
08081,Data Structures,February 17 – 22,2008
08091,Logic and Probability for Scene Interpretation,February 24 – 29,2008
08101,Computational Proteomics,March 2 – 7,2008
08102,Network Attack Detection and Defense,March 2 – 6,2008
08111,Ranked XML Querying,March 9 – 14,2008
08131,Ontologies and Text Mining for Life Sciences: Current Status and Future Perspectives,March 24 – 28,2008
08141,Organic Computing - Controlled Self-organization,March 30 – April 4,2008
08142,Combining the Advantages of Product Lines and Open Source,April 2 – 5,2008
08161,Scalable Program Analysis,April 13 – 18,2008
08171,Beyond the Finite: New Challenges in Verification and Semistructured Data,April 20 – 25,2008
08181,The Evolution of Conceptual Modeling,April 27 – 30,2008
08191,Graph Drawing with Applications to Bioinformatics and Social Sciences,May 4 – 9,2008
08201,Design and Analysis of Randomized and Approximation Algorithms,May 11 – 16,2008
08221,Geometric Modeling,May 25 – 30,2008
08231,Virtual Realities,June 1 – 6,2008
08241,Transactional Memory: From Implementation to Application,June 8 – 13,2008
08242,End-to-End Protocols for the Future Internet,June 8 – 11,2008
08251,Contextual and Social Media Understanding and Usage,June 15 – 20,2008
08261,Structure-Based Compression of Complex Massive Data,June 22 – 27,2008
08271,Topological and Game-Theoretic Aspects of Infinite Computations,June 29 – July 4,2008
08281,Software Engineering for Tailor-made Data Management,July 6 – 11,2008
08291,Statistical and Geometrical Approaches to Visual Motion Analysis. 14th Workshop \x93Theoretic Foundations of Computer Vision\x94,July 13 – 18,2008
08292,The Study of Visual Aesthetics in Human-Computer Interaction,July 13 – 16,2008
08301,Group Testing in the Life Sciences,July 20 – 25,2008
08302,Countering Insider Threats,July 20 – 25,2008
08331,Model Engineering of Complex Systems (MECS),August 10 – 13,2008
08332,Distributed Verification and Grid Computing,August 10 – 14,2008
08341,Sublinear Algorithms,August 17 – 22,2008
08351,Evolutionary Test Generation,August 24 – 29,2008
08361,Programming Multi-Agent Systems,August 31 – September 5,2008
08371,Fault-Tolerant Distributed Algorithms on VLSI Chips,September 7 – 10,2008
08372,Computer Science in Sport - Mission and Methods,September 7 – 10,2008
08381,Computational Complexity of Discrete Problems,September 14 – 19,2008
08391,Social Web Communities,September 21 – 26,2008
08393,"Virtual games, interactive hosted services and user-generated content in Web 2.0",September 24 – 27,2008
08412,Science of Design: High-Impact Requirements for Software-Intensive Systems,October 8 – 11,2008
08421,Uncertainty Management in Information Systems,October 12 – 17,2008
08431,Moderately Exponential Time Algorithms,October 19 – 24,2008
08441,Emerging Uses and Paradigms for Dynamic Binary Translation,October 26 – 31,2008
08451,"Representation, Analysis and Visualization of Moving Objects",November 2 – 7,2008
08461,Planning in Multiagent Systems,November 9 – 14,2008
08471,Geographic Privacy-Aware Knowledge Discovery and Delivery,November 16 – 21,2008
08491,Theoretical Foundations of Practical Information Security,November 30 – December 5,2008
08492,Structured Decompositions and Efficient Algorithms,November 30 – December 5,2008
09021,Software Service Engineering,January 4 – 7,2009
09031,Symmetric Cryptography,January 11 – 16,2009
09041,Hybrid and Robust Approaches to Multiobjective Optimization,January 18 – 23,2009
09051,Knowledge representation for intelligent music processing,January 25 – 30,2009
09052,Management of the Future Internet,January 27 – 30,2009
09061,Combinatorial Scientific Computing,February 1 – 6,2009
09071,Delay and Disruption-Tolerant Networking (DTN) II,February 8 – 11,2009
09072,Bandwidth on Demand,February 8 – 11,2009
09073,Model-Based Design of Trustworthy Health Information Systems,February 11 – 14,2009
09081,Similarity-based learning on structures,February 15 – 20,2009
09082,The Future of Grid Computing,February 15 – 20,2009
09091,Formal Methods in Molecular Biology,February 22 – 27,2009
09101,Interactive Information Retrieval,March 1 – 6,2009
09102,Naming and Addressing in a Future Internet,March 1 – 4,2009
09111,Computational Geometry,March 8 – 13,2009
09121,Normative Multi-Agent Systems,March 15 – 20,2009
09131,Service Level Agreements in Grids,March 22 – 27,2009
09141,Web Application Security,March 29 – April 3,2009
09142,Preventing the Brainware Crisis,March 31 – April 3,2009
09161,Generalization of spatial information,April 13 – 17,2009
09162,Architecture and Design of the Future Internet,April 14 – 17,2009
09171,"Adaptive, Output Sensitive, Online and Parameterized Algorithms",April 19 – 24,2009
09181,Sampling-based Optimization in the Presence of Uncertainty,April 26 – 30,2009
09191,Fault Tolerance in High-Performance Computing and Grids,May 3 – 8,2009
09192,From Quality of Service to Quality of Experience,May 5 – 8,2009
09201,Self-Healing and Self-Adaptive Systems,May 10 – 15,2009
09211,Visualization and Monitoring of Network Traffic,May 17 – 20,2009
09221,Algorithms and Number Theory,May 24 – 29,2009
09251,Scientific Visualization,June 14 – 19,2009
09261,Models and Algorithms for Optimization in Logistics,June 21 – 26,2009
09271,Semantic Web Reflections and Future Directions,June 28 – July 3,2009
09281,Search Methodologies,July 5 – 10,2009
09282,Foundations for Forgery-Resilient Cryptographic Hardware,July 5 – 8,2009
09291,Computational Creativity: An Interdisciplinary Approach,July 12 – 17,2009
09292,The Java Modeling Language (JML),July 12 – 17,2009
09301,"Typing, Analysis and Verification of Heap-Manipulating Programs",July 19 – 24,2009
09302,New Developments in the Visualization and Processing of Tensor Fields,July 19 – 24,2009
09311,Classical and Quantum Information Assurance Foundations and Practice,July 26 – 31,2009
09341,"Cognition, Control and Learning for Robot Manipulation in Human Environments",August 16 – 21,2009
09351,"Information processing, rational belief change and social interaction",August 23 – 27,2009
09361,Design and Validation of Concurrent Systems,August 30 – September 4,2009
09371,Algorithmic Methods for Distributed Cooperative Systems,September 6 – 11,2009
09381,Refinement Based Methods for the Construction of Dependable Systems,September 13 – 18,2009
09391,Algorithms and Complexity for Continuous Problems,September 20 – 25,2009
09401,Machine learning approaches  to statistical dependences and causality,September 27 – October 2,2009
09402,Democracy in a Network Society,September 27 – October 2,2009
09411,Interaction versus Automation: The two Faces of Deduction,October 4 – 9,2009
09421,Algebraic Methods in Computational Complexity,October 11 – 16,2009
09431,From Form to Function,October 18 – 23,2009
09432,Quantitative Software Design,October 20 – 23,2009
09441,The Constraint Satisfaction Problem: Complexity and Approximability,October 25 – 30,2009
09451,"Geometric Networks, Metric Space Embeddings and Spatial Data Mining",November 1 – 6,2009
09461,Algorithms and Applications for Next Generation SAT Solvers,November 8 – 13,2009
09471,"Computer-assisted proofs - tools, methods and applications",November 15 – 20,2009
09481,SYNCHRON 2009,November 22 – 27,2009
09491,Graph Search Engineering,November 29 – December 4,2009
09493,Evolving Critical Systems,December 2 – 4,2009
09501,Software Synthesis,December 6 – 11,2009
09502,Coalgebraic Logics,December 6 – 9,2009
09511,Parameterized complexity and approximation algorithms,December 13 – 17,2009
10011,Pervasive Public Displays,January 3 – 8,2010
10021,Service-Oriented Architecture and (Multi-)Agent Systems Technology,January 10 – 15,2010
10031,Quantitative Models: Expressiveness and Analysis,January 17 – 22,2010
10041,Digital Social Networks,January 24 – 29,2010
10042,Semantic Challenges in Sensor Networks,January 24 – 29,2010
10051,Quantitative and Qualitative Analysis of Network Protocols,January 31 – February 5,2010
10061,"Circuits, Logic, and Games",February 7 – 12,2010
10071,Scheduling,February 14 – 19,2010
10081,Cognitive Robotics,February 21 – 26,2010
10091,Data Structures,February 28 – March 5,2010
10101,Computational Foundations of Social Choice,March 7 – 12,2010
10102,Grand Challenges for Discrete Event Logistics Systems,March 7 – 12,2010
10111,Practical Software Testing: Tool Automation and Human Factors,March 14 – 19,2010
10121,Computational Transportation Science,March 21 – 26,2010
10122,New Frontiers for Empirical Software Engineering,March 21 – 24,2010
10131,Spatial Representation and Reasoning in Language: Ontologies and Logics of Space,March 28 – April 1,2010
10141,Distributed Usage Control,April 6 – 9,2010
10151,Enabling Holistic Approaches to Business Process Lifecycle Management,April 11 – 16,2010
10152,"Relationships, Objects, Roles, and Queries in Modern Programming Languages",April 11 – 16,2010
10161,"Decision Procedures in Software, Hardware and Bioware",April 18 – 23,2010
10171,Equilibrium Computation,April 25 – 30,2010
10181,Program Development for Extreme-Scale Computing,May 2 – 7,2010
10191,"Program Composition and Optimization: Autotuning, Scheduling, Metaprogramming and Beyond",May 9 – 12,2010
10201,Event Processing,May 16 – 21,2010
10211,Flexible Network Design,May 24 – 28,2010
10231,"Structure Discovery in Biology: Motifs, Networks & Phylogenies",June 6 – 11,2010
10232,The Semantics of Information,June 6 – 11,2010
10241,Information Visualization,June 13 – 18,2010
10252,Game Semantics and Program Verification,June 20 – 25,2010
10261,Algorithm Engineering,June 27 – July 2,2010
10271,Verification over discrete-continuous boundaries,July 4 – 9,2010
10281,Dynamically Reconfigurable Architectures,July 11 – 16,2010
10291,Automation in Digital Preservation,July 18 – 23,2010
